主分类(中文)	HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
生长异常	HP:0000002	Abnormality of body height	身高异常	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	身高偏离该年龄性别预期身高的正常范围。
泌尿生殖系统的异常	HP:0000003	Multicystic kidney dysplasia	多囊性肾发育不全	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvocaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.	多囊性肾发育不全的特点是各种大小不一的肾囊肿，缺乏正常肾盂肾盏系统。这种状态伴发输尿管或肾盂输尿管闭锁，受累肾脏无功能。
遗传模式	HP:0000005	Mode of inheritance	遗传模式	The pattern in which a particular genetic trait or disorder is passed from one generation to the next.	
遗传模式	HP:0000006	Autosomal dominant inheritance	常染色体显性遗传	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.	
遗传模式	HP:0000007	Autosomal recessive inheritance	常染色体隐形遗传	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).	
泌尿生殖系统的异常	HP:0000008	Abnormality of female internal genitalia	女性内生殖器异常	An abnormality of the `female internal genitalia` (FMA:45654).	女性内生殖器的异常。
泌尿生殖系统的异常	HP:0000009	Functional abnormality of the bladder	膀胱机能异常	`Dysfunction` (PATO:0001641) of the `urinary bladder` (FMA:15900).	膀胱的功能异常。
免疫系统的异常;泌尿生殖系统的异常	HP:0000010	Recurrent urinary tract infections	复发性尿路感染	Repeated infections of the urinary tract.	尿路反复感染。
泌尿生殖系统的异常	HP:0000011	Neurogenic bladder	神经性膀胱功能障碍	An inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073) owing to a neurological condition.	由于神经系统疾患导致排尿过程中无法完全排空膀胱。
泌尿生殖系统的异常	HP:0000012	Urinary urgency	尿急	Urge incontinence is the strong, sudden need to urinate.	强烈的、突然要小便而出现的急迫性尿失禁。
泌尿生殖系统的异常	HP:0000013	Hypoplasia of the uterus	子宫发育不良	Underdevelopment of the `uterus` (FMA:17558).	子宫发育低下。
泌尿生殖系统的异常	HP:0000014	Abnormality of the bladder	膀胱异常	An abnormality of the `urinary bladder` (FMA:15900).	发生在膀胱的异常。
泌尿生殖系统的异常	HP:0000015	Bladder diverticulum	膀胱憩室	`Diverticulum` (MPATH:68) (sac or pouch) in the `wall of the urinary bladder` (FMA:15902).	膀胱壁上存在憩室。
泌尿生殖系统的异常	HP:0000016	Urinary retention	尿潴留	Inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073).	排尿过程中无法完全排空膀胱。
泌尿生殖系统的异常	HP:0000017	Nocturia	夜尿症	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	夜间尿产量异常增多导致不寻常的频繁排尿。
泌尿生殖系统的异常	HP:0000019	Urinary hesitancy	排尿困难	Difficulty in beginning the process of `urination` (GO:0060073).	排尿过程开始时困难。
泌尿生殖系统的异常	HP:0000020	Urinary incontinence	尿失禁	Loss of the ability to control the `urinary bladder` (FMA:15900) leading to involuntary `urination` (GO:0060073).	控制膀胱能力丧失，导致非自主排尿。
泌尿生殖系统的异常	HP:0000021	Megacystis	巨膀胱症	Dilatation of the bladder postnatally.	出生后膀胱扩张。
泌尿生殖系统的异常	HP:0000022	Abnormality of male internal genitalia	男性内生殖器异常	An abnormality of the `male internal genitalia` (FMA:45655).	男性内生殖器的异常。
结缔组织的异常;消化系统的异常	HP:0000023	Inguinal hernia	腹股沟疝	Protrusion of the contents of the abdominal cavity through the inguinal canal.	经由腹股沟的腹腔内容物的突起。
免疫系统的异常;泌尿生殖系统的异常	HP:0000024	Prostatitis	前列腺炎	The presence of `inflammation` (MPATH:212) of the `prostate` (FMA:9600).	前列腺出现炎症。
泌尿生殖系统的异常	HP:0000025	Functional abnormality of male internal genitalia	男性内生殖器功能异常		
内分泌系统的异常;泌尿生殖系统的异常	HP:0000026	Male hypogonadism	男性性腺功能低下	`Decreased functionality` (PATO:0001624) of the male gonad, i.e., of the `testis` (FMA:7210).	男性性腺即睾丸功能性减退。
泌尿生殖系统的异常	HP:0000027	Azoospermia	无精症	Absence of any measurable level of sperm in his semen.	精液中检测不到精子。
