OMIM编码	英文名	中文译名
OMIM:604213	CHUDLEY-MCCULLOUGH SYNDROME; CMCS	Chudley-mccullough综合征；CMCS
OMIM:301040	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX	X-连锁α-地中海贫血/智力迟钝综合征；ATRX
OMIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1	X染色体相关的精神发育迟滞-肌张力减退综合征1型（MRXHF1）
OMIM:300448	ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROME; ATMDS	α地中海贫血骨髓增生异常综合征（ATMD）
OMIM:212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A	Ia型先天性糖蛋白糖基化障碍；CDG1A
OMIM:215700	CITRULLINEMIA, CLASSIC	古典型瓜氨酸血症
OMIM:181500	SCHIZOPHRENIA; SCZD	精神分裂症；SCZD
OMIM:604906	SCHIZOPHRENIA 9; SCZD9	精神分裂症9；SCZD9
OMIM:612716	DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY	墨蝶呤还原酶缺乏致多巴反应性肌张力障碍症
OMIM:614254	MENTAL RETARDATION, AUTOSOMAL DOMINANT 8; MRD8	常染色体隐性遗传性精神发育迟缓8
OMIM:154500	TREACHER COLLINS SYNDROME 1; TCS1	1型Treacher Collins综合征；TCS1
OMIM:278720	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C; XPC	着色性干皮病（互补组C）；XPC
OMIM:278700	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP A; XPA	着色性干皮症（互补组A）；XPA
OMIM:146110	HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR WITHOUT ANOSMIA; HH7	伴有或无嗅觉丧失性低促性腺素性功能减退症7（HH7）
OMIM:258501	3-METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3	3-甲基戊二酰酸尿症，3型；MGCA3
OMIM:165300	OPTIC ATROPHY 3, AUTOSOMAL DOMINANT; OPA3	视神经萎缩3，常染色体显性遗传; OPA3
OMIM:606657	GLAUCOMA, NORMAL TENSION, SUSCEPTIBILITY TO	正常眼压性青光眼，易感性
OMIM:165500	OPTIC ATROPHY 1; OPA1	视神经萎缩症 1（ OPA1）
OMIM:125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY	视神经萎缩伴或不伴耳聋，眼肌麻痹，肌病，共济失调及神经病变
OMIM:607523	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 8; NDNC8	先天性非综合征趾甲症8（NDNC8）
OMIM:131705	TRANSIENT BULLOUS DERMOLYSIS OF THE NEWBORN; TBDN	新生儿短暂性大疱性表皮松解症；TBDN
OMIM:131850	EPIDERMOLYSIS BULLOSA DYSTROPHICA, PRETIBIAL	胫前大疱性营养不良型表皮松解
OMIM:132000	EPIDERMOLYSIS BULLOSA WITH CONGENITAL LOCALIZED ABSENCE OF SKIN AND DEFORMITY OF NAILS	大疱性表皮松解症与皮肤先天性缺损和指甲畸形
OMIM:604129	EPIDERMOLYSIS BULLOSA PRURIGINOSA	痒疹样大疱性表皮松解症(DEB)
OMIM:131750	EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL DOMINANT; DDEB	常染色体显性遗传型大疱性营养不良型表皮松解症（DDBB）
OMIM:226600	EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL RECESSIVE; RDEB	常染色体隐性遗传型营养不良性大疱性表皮松解症（RDEB）
OMIM:615565	RETINITIS PIGMENTOSA 67; RP67	视网膜色素变性67（RP67）
OMIM:191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1	肾发育不全/发育不良-1（Renal Hypodysplasia/aplasia-1，RHDA1）
OMIM:601003	BRODY MYOPATHY	布罗迪氏病
OMIM:124200	DARIER-WHITE DISEASE; DAR	DARIER-WHITE疾病（DAR，毛囊角化症）
OMIM:101900	ACROKERATOSIS VERRUCIFORMIS; AKV	疣状肢端角化症（AKV）
OMIM:614200	BLEEDING DISORDER, PLATELET-TYPE, 9; BDPLT9	血小板异常出血性疾病-9（bleeding disorder，platelet-type 9，BDPLT9）
OMIM:614748	INTERSTITIAL LUNG DISEASE, NEPHROTIC SYNDROME, AND EPIDERMOLYSIS BULLOSA, CONGENITAL; ILNEB	间质性肺病，肾病综合征并发大疱性表皮松解症，先天性
OMIM:615355	NOONAN SYNDROME 8; NS8	NOONAN综合征8; NS8
OMIM:613204	MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY	整合素α-7缺乏先天性肌营养不良
OMIM:142669	BEUKES HIP DYSPLASIA; BHD	Beukes型髋关节发育不良
OMIM:141749	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1	胎儿血红蛋白数量性状位点1型；HBFQTL1
OMIM:613977	CYANOSIS, TRANSIENT NEONATAL; TNCY	新生儿暂时性苍白病（TNCY）
OMIM:194071	WILMS TUMOR 2; WT2	肾母细胞瘤2
OMIM:130650	BECKWITH-WIEDEMANN SYNDROME; BWS	贝-威综合征（BWS）
OMIM:180860	SILVER-RUSSELL SYNDROME; SRS	Silver-Russell综合症; SRS
OMIM:613307	DEAFNESS, AUTOSOMAL RECESSIVE 79; DFNB79	常染色体隐性遗传性耳聋79（DFNB79）
OMIM:616265	PEELING SKIN SYNDROME 3; PSS3	脱皮综合征-3（PSS3）
OMIM:301050	ALPORT SYNDROME, X-LINKED; ATS	伴X染色体的遗传性肾炎综合症（ATS）
OMIM:203780	ALPORT SYNDROME, AUTOSOMAL RECESSIVE	Alport综合征，常染色体隐性遗传
OMIM:141200	HEMATURIA, BENIGN FAMILIAL; BFH	良性家族性血尿（ BFH）
OMIM:203780	ALPORT SYNDROME, AUTOSOMAL RECESSIVE	Alport综合征，常染色体隐性遗传
OMIM:104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT	常染色体显性遗传性Alport综合征
OMIM:614519	HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO; ICH	颅内出血易感性（ICH）
OMIM:614483	PORENCEPHALY 2; POREN2	脑穿通畸形2；POREN2
OMIM:175780	PORENCEPHALY 1; POREN1	1型-脑穿通畸形（POREN1）
OMIM:614519	HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO; ICH	颅内出血易感性（ICH）
